id;name;address;email;phone_number;description;work_day;work_time;type;jhi_procedure
1;Account;Kids portals;Alexis41@yahoo.com;Communications orchid;payment Steel;Massachusetts;Buckinghamshire Movies;BENH_VIEN;neural-net program
2;optical black;function Outdoors interfaces;Lurline.OConnell13@gmail.com;Directives Montana copying;Unbranded Executive Cloned;Ruble lavender Handmade;Rustic;PHONG_KHAM;Concrete bluetooth olive
3;FTP platforms Mouse;Practical;Ansel.Considine18@hotmail.com;cyan;bi-directional calculate Rubber;Mouse Beauty;1080p schemas;PHONG_KHAM;1080p Colorado Delaware
4;deposit hack Avon;Executive Handmade;Nya_Hintz@yahoo.com;infomediaries Account Loan;state open-source Industrial;Personal Lead;overriding Garden;PHONG_KHAM;convergence protocol Luxembourg
5;Account;Islands Connecticut;Fritz.Murphy@yahoo.com;silver Miquelon indigo;Clothing Communications PNG;Awesome proactive;matrix payment;BENH_VIEN;Borders
6;Bermuda metrics cutting-edge;payment;Sherwood45@hotmail.com;Drives Account;array Monaco;synthesizing;Colombian Freeway Paradigm;BENH_VIEN;Checking Illinois
7;Peso;Beauty;Buddy.Kutch9@yahoo.com;strategy;customer;withdrawal synergies;Balanced intermediate;BENH_VIEN;Soap
8;TCP;black Soap Florida;Cornell_Towne43@gmail.com;connect orange Drive;generating Cheese Uruguayo;PCI harness;Cordoba;PHONG_KHAM;Table SMS utilize
9;multi-byte Drive Orchard;architectures seamless;Dwight.Cartwright97@gmail.com;models;Direct parsing;Gardens Borders Checking;gold rich Movies;PHONG_KHAM;deposit
10;productize grid-enabled;maroon Markets;Minerva56@gmail.com;Beauty Music Computers;SMTP South Hampshire;plum models;neural;PHONG_KHAM;Rubber initiatives intermediate
